Job Title,Company,Skills,Location,Salary,Experience,Posted,Link
Videographer,Rebel Foods Private Limited,"Adobe After Effects, Adobe Premiere Pro, After Effects, Branding, Digital Illustration, Final Cut Pro, Photography, Video Editing, Video Making",Mumbai,"₹ 7,00,000 - 7,20,000",1 year(s),N/A,https://internshala.com/job/detail/videographer-job-in-mumbai-at-rebel-foods-private-limited1764697464
Customer Acquisition Specialist,SpotOnMedia,"Client Relationship Management (CRM), Data Analysis, Data Analytics, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Written), HubSpot, MS-Excel, MS-Office, Salesforce",Work from home,"₹ 6,10,000 - 7,45,500",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-customer-acquisition-specialist-job-at-spotonmedia1763449677
Managed Services Consultant,Team Management Services (TMS),"Java, Oracle, PL/SQL, Python, Shell Scripting, SQL","Thane,Navi Mumbai,Mumbai(Hybrid)","₹ 6,00,000 - 12,00,000",1 year(s),N/A,https://internshala.com/job/detail/managed-services-consultant-job-in-multiple-locations-at-team-management-services-tms1764685472
Business Development Trainee,SAP,"Email Marketing, Lead Generation",Work from home,"₹ 6,00,000 - 11,20,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-business-development-trainee-job-at-sap1764664083
Interior Designer,Flipspaces,"AutoCAD, Autodesk 3ds Max","Hyderabad,Mumbai,Noida,Bangalore","₹ 6,00,000 - 7,00,000",1 year(s),N/A,https://internshala.com/job/detail/interior-designer-job-in-multiple-locations-at-flipspaces1764750935
Hotel Management Executive,Wonderla Holidays Limited,Customer Support,Bangalore,"₹ 5,00,000 - 6,50,000",1 year(s),N/A,https://internshala.com/job/detail/hotel-management-executive-job-in-bangalore-at-wonderla-holidays-limited1764233341
Business Development Associate,Bhanzu (Formerly Exploring Infinities),English Proficiency (Spoken),Bangalore,"₹ 4,50,000 - 6,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-business-development-associate-job-in-bangalore-at-bhanzu-formerly-exploring-infinities1763960963
Full Stack Trainer,IREED Academy India Private Limited,"Java, MongoDB, Python, React, React Native, Spring Boot, Spring Framework",Gurgaon,"₹ 4,00,000 - 10,00,000",1 year(s),N/A,https://internshala.com/job/detail/full-stack-trainer-job-in-gurgaon-at-ireed-academy-india-private-limited1764936471
Real Estate Trainer,IREED Academy India Private Limited,"Effective Communication, Leadership, Mentorship, Sales, Teaching, Team Management",Gurgaon,"₹ 4,00,000 - 10,00,000",1 year(s),N/A,https://internshala.com/job/detail/real-estate-trainer-job-in-gurgaon-at-ireed-academy-india-private-limited1764936308
Junior Engineer,Manpower Group Services India,"Electric Vehicle Technology, Mechanical & Electrical Product Design","Chennai,Pune,Hyderabad,Vadodara,Mumbai,Vijayawada,Raipur,Bangalore","₹ 4,00,000 - 8,50,000",1 year(s),N/A,https://internshala.com/job/detail/junior-engineer-job-in-multiple-locations-at-manpower-group-services-india1765268266
Customer Acquisition Associate,WWF-India,"Business Development, Client Relationship, Cold Calling, Customer Acquisition, Sales",Delhi,"₹ 4,00,000 - 6,50,000",1 year(s),2 days ago,https://internshala.com/job/detail/customer-acquisition-associate-job-in-delhi-at-wwf-india1766218176
Sales Executive,NoBroker Technologies Solutions Private Limited,"English Proficiency (Spoken), Hindi Proficiency (Spoken), Inside Sales, Kannada Proficiency (Spoken), Lead Generation",Bangalore,"₹ 4,00,000 - 6,00,000",0 year(s),4 days ago,https://internshala.com/job/detail/fresher-sales-executive-job-in-bangalore-at-nobroker-technologies-solutions-private-limited1766048051
Executive - Learning And Development,OfBusiness (OFB Tech Private Limited),"Articulate 360, Canva, Classroom Management, Content Writing, Coordination, Effective Communication, MS-PowerPoint, Storyboarding, Video Making",Gurgaon,"₹ 4,00,000",1 year(s),N/A,https://internshala.com/job/detail/executive-learning-and-development-job-in-gurgaon-at-ofbusiness-ofb-tech-private-limited1764338817
Business Development Executive,Thryve Z,"Adaptability, Business Development, Client Relationship Management (CRM), English Proficiency (Spoken), English Proficiency (Written), Leadership, Marketing, MS-Excel, Problem Solving",Bangalore,"₹ 3,60,000 - 4,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-business-development-executive-job-in-bangalore-at-thryve-z1764319488
Business Development Executive,NCML - National Commodities Management Services Limited,"Email Marketing, English Proficiency (Written), MS-Excel","Delhi,Gurgaon","₹ 3,50,000 - 4,50,000",1 year(s),N/A,https://internshala.com/job/detail/business-development-executive-job-in-multiple-locations-at-ncml-national-commodities-management-services-limited1764662609
Business Development Associate,WWF-India,"Business Development, Cold Calling, Sales",Delhi,"₹ 3,50,000 - 4,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-business-development-associate-job-in-delhi-at-wwf-india1764656168
Home Loan Executive,Zucol Group Of Companies,"Field Sales, Sales",Gurgaon,"₹ 3,50,000 - 4,00,000",1 year(s),N/A,https://internshala.com/job/detail/home-loan-executive-job-in-gurgaon-at-zucol-group-of-companies1764682326
Corporate Sales Executive,Decathlon Sports India,"English Proficiency (Spoken), Inventory Management, MS-Office, Sales Management, Sales Strategy, Sports",Bangalore,"₹ 3,36,000 - 3,60,000",0 year(s),6 days ago,https://internshala.com/job/detail/fresher-corporate-sales-executive-job-in-bangalore-at-decathlon-sports-india1765885489
Exhibition Sales - Education,Times Internet Limited,"B2B Sales, Business Development, Communication Skills, Interpersonal skills, Lead Generation, Research, Sales, Strategy","Lucknow,Mumbai,Noida","₹ 3,30,000 - 4,95,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-exhibition-sales-education-job-in-multiple-locations-at-times-internet-limited1764341033
Junior Talent Acquisition Executive,NJ India Invest Private Limited,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Recruitment",Surat,"₹ 3,20,000 - 3,75,000",1 year(s),6 days ago,https://internshala.com/job/detail/junior-talent-acquisition-executive-job-in-surat-at-nj-india-invest-private-limited1765875842
Associate - Scholarship,Azim Premji University,"Data entry, MS-Office, Operations",Gulbarga,"₹ 3,12,000 - 4,80,000",1 year(s),N/A,https://internshala.com/job/detail/associate-scholarship-job-in-gulbarga-at-azim-premji-university1764239562
Business Development Executive,Unacademy (Sorting Hat Technologies Private Limited),"Business Development, Client Interaction, Client Relationship, Client Relationship Management (CRM), Cold Calling, Sales Strategy, Sales Support",Noida,"₹ 3,05,000 - 3,20,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-business-development-executive-job-in-noida-at-unacademy-sorting-hat-technologies-private-limited1763981449
Program Counselor,Imarticus Learning,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Sales","Delhi,Gurgaon,Noida","₹ 3,00,000 - 6,00,000",1 year(s),N/A,https://internshala.com/job/detail/program-counselor-job-in-multiple-locations-at-imarticus-learning1764047379
WordPress Developer,Sortiq Solutions Private Limited,"Laravel, PHP, Search Engine Optimization (SEO), Shopify, WordPress",Mohali,"₹ 3,00,000 - 6,00,000",1 year(s),N/A,https://internshala.com/job/detail/wordpress-developer-job-in-mohali-at-priyanka-sharma1764318452
Junior Social Media Marketing Trainee,Appinventiv Technologies,"Content Marketing, Social Media Marketing",Noida,"₹ 3,00,000 - 4,32,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-junior-social-media-marketing-trainee-job-in-noida-at-appinventiv-technologies1764694793
Corporate Sales Executive,NJ India Invest Private Limited,"Effective Communication, Sales Support",Surat,"₹ 3,00,000 - 4,25,000",0 year(s),6 days ago,https://internshala.com/job/detail/fresher-corporate-sales-executive-job-in-surat-at-nj-india-invest-private-limited1765876109
Education Loan Counsellor,CollegeDunia Web Private Limited,"Banking, Finance",Gurgaon,"₹ 3,00,000 - 3,60,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-education-loan-counsellor-job-in-gurgaon-at-collegedunia-web-private-limited1764661244
Video Editor,Arihant Publications,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Video Editing, Video Making",Noida,"₹ 3,00,000 - 3,60,000",1 year(s),N/A,https://internshala.com/job/detail/video-editor-job-in-noida-at-arihant-publications1764671639
Partnership & Marketing ﻿Executive,603 The CoWorking Space India,"Digital Marketing, Interior design, Search Engine Optimization (SEO), Social Media Marketing","Mumbai,Bandra","₹ 3,00,000 - 3,50,000",1 year(s),N/A,https://internshala.com/job/detail/partnership-marketing-executive-job-in-multiple-locations-at-603-the-coworking-space-india1765277091
Senior Accountant,603 The CoWorking Space India,"Accounting, English Proficiency (Spoken), GST, Tally","Mumbai,Bandra","₹ 3,00,000 - 3,50,000",1 year(s),N/A,https://internshala.com/job/detail/senior-accountant-job-in-multiple-locations-at-603-the-coworking-space-india1765187106
Omni Sport Advisor,Decathlon Sport India Private Limited,"Business Analysis, Client Interaction, Data Analysis, Marketing Strategies",Mumbai,"₹ 3,00,000 - 3,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-omni-sport-advisor-job-in-mumbai-at-decathlon-sport-india-private-limited1765288125
Business Development Executive,CollegeDekho.com,"English Proficiency (Spoken), Sales",Bangalore,"₹ 3,00,000 - 3,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-business-development-executive-job-in-bangalore-at-collegedekhocom1764133597
Human Resources (HR) Executive,Zucol Group Of Companies,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Leadership, Presentation skills, Team Management",Pune,"₹ 3,00,000 - 3,40,000",1 year(s),1 day ago,https://internshala.com/job/detail/human-resources-hr-executive-job-in-pune-at-zucol-group-of-companies1766353534
Corporate Sales Executive,Gagan Ferrotech Limited,"B2B Sales, Field Sales, Field Work",Kolkata,"₹ 2,90,000 - 4,00,000",1 year(s),N/A,https://internshala.com/job/detail/corporate-sales-executive-job-in-kolkata-at-gagan-ferrotech-limited1765517644
Field Sales Executive,Godrej Industries,Communication Skills,Patna,"₹ 2,70,000 - 3,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-field-sales-executive-job-in-patna-at-godrej-industries1764917996
Customer Service Executive,Enrich Hair And Skin Solutions Private Limited,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office",Mumbai,"₹ 2,66,000 - 3,45,000",1 year(s),N/A,https://internshala.com/job/detail/customer-service-executive-job-in-mumbai-at-enrich-hair-and-skin-solutions-private-limited1765512337
Administration Executive,GlobalStep Services Private Limited,"English Proficiency (Spoken), MS-Office, MS-Word, Vendor Management",Pune,"₹ 2,64,000 - 3,17,000",1 year(s),5 days ago,https://internshala.com/job/detail/administration-executive-job-in-pune-at-globalstep-services-private-limited1765971372
Content Writer,OfBusiness (OFB Tech Private Limited),"Creative Writing, Search Engine Optimization (SEO), Storytelling",Gurgaon,"₹ 2,50,000 - 4,80,000",1 year(s),N/A,https://internshala.com/job/detail/content-writer-job-in-gurgaon-at-ofbusiness-ofb-tech-private-limited1764574471
Social Media And Digital Marketing Manager,Elite Global,"Digital Marketing, Social Media Marketing",Bangalore,"₹ 2,50,000 - 4,00,000",1 year(s),N/A,https://internshala.com/job/detail/social-media-and-digital-marketing-manager-job-in-bangalore-at-elite-global1764649747
Customer Acquisition Executive,IREED Academy India Private Limited,Effective Communication,Gurgaon,"₹ 2,50,000 - 3,80,000",0 year(s),4 days ago,https://internshala.com/job/detail/fresher-customer-acquisition-executive-job-in-gurgaon-at-ireed-academy-india-private-limited1766044006
Instagram Live Sales Executive (Female Candidates Only),603 The CoWorking Space India,"Instagram Marketing, Sales Management","Mumbai,Bandra","₹ 2,50,000 - 3,00,000",1 year(s),Today,https://internshala.com/job/detail/instagram-live-sales-executive-female-candidates-only-job-in-multiple-locations-at-603-the-coworking-space-india1766387594
Academic Counsellor,IREED Academy India Private Limited,Effective Communication,Gurgaon,"₹ 2,50,000 - 3,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-academic-counsellor-job-in-gurgaon-at-ireed-academy-india-private-limited1765611581
Sales Associate,WWF-India,"Business Development, Sales",Delhi,"₹ 2,50,000 - 3,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-sales-associate-job-in-delhi-at-wwf-india1764737178
Human Resources (HR) Trainee,HDFC ERGO General Insurance Company Limited,"MS-Office, MS-Word, Recruitment",Noida,"₹ 2,50,000 - 3,00,000",1 year(s),N/A,https://internshala.com/job/detail/human-resources-hr-trainee-job-in-noida-at-hdfc-ergo-general-insurance-company-limited1764157966
Finance Associate,Hays Business Solutions,"Accounting, Finance, Invoice Processing","Faridabad,Delhi,Ghaziabad,Noida(Hybrid)","₹ 2,50,000 - 3,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-finance-associate-job-in-multiple-locations-at-hays-business-solutions1764156569
Human Resources (HR) Trainee,DCB Bank,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-Word, Onboarding, Recruitment",Mumbai,"₹ 2,50,000",0 year(s),Today,https://internshala.com/job/detail/fresher-human-resources-hr-trainee-job-in-mumbai-at-dcb-bank1766383206
Social Media Handler,Ifield,"Adobe Creative Suite, Canva",Jaipur,"₹ 2,40,000 - 6,00,000",1 year(s),6 days ago,https://internshala.com/job/detail/social-media-handler-job-in-jaipur-at-ifield1765870643
Human Resources (HR) Associate,Mastek India,"English Proficiency (Spoken), Human Resources, MS-Excel",Navi Mumbai,"₹ 2,40,000 - 4,00,000",1 year(s),N/A,https://internshala.com/job/detail/human-resources-hr-associate-job-in-navi-mumbai-at-mastek-india1765290727
Operations & Strategy Executive,Arihant Publications,"Coordination, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, Interviewing, Operations, Stakeholder Management, Team Management","Delhi,Noida","₹ 2,40,000 - 3,60,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-operations-strategy-executive-job-in-multiple-locations-at-arihant-publications1765192896
"EA To Director & Head HR (SVV, SVU & SAV)",Somaiya Vidyavihar,"Effective Communication, Marathi Proficiency(Spoken), MS-Excel, MS-PowerPoint",Mumbai,"₹ 2,40,000 - 3,00,000",1 year(s),N/A,https://internshala.com/job/detail/ea-to-director-head-hr-svv-svu-sav-job-in-mumbai-at-somaiya-vidyavihar1765314748
Social Media Sales & Support Executive,603 The CoWorking Space India,"Marketing, Social Media Marketing","Mumbai,Bandra","₹ 2,40,000 - 2,50,000",1 year(s),Today,https://internshala.com/job/detail/social-media-sales-support-executive-job-in-multiple-locations-at-603-the-coworking-space-india1766391354
Customer Chat Representative,603 The CoWorking Space India,"Client Relationship Management (CRM), Social Media Marketing","Mumbai,Bandra","₹ 2,40,000 - 2,50,000",1 year(s),Today,https://internshala.com/job/detail/customer-chat-representative-job-in-multiple-locations-at-603-the-coworking-space-india1766391268
Business Development Executive,Zucol Group Of Companies,"Business Development, Client Interaction, Effective Communication, English Proficiency (Spoken), English Proficiency (Written)",Pune,"₹ 2,40,000 - 2,50,000",0 year(s),2 days ago,https://internshala.com/job/detail/fresher-business-development-executive-job-in-pune-at-zucol-group-of-companies1766251507
Customer Service Associate,Bharti Axa Life Insurance Company Limited,Effective Communication,Chennai,"₹ 2,30,000 - 2,85,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-customer-service-associate-job-in-chennai-at-bharti-axa-life-insurance-company-limited1765436537
Operations Associate,MediBuddy,"Attention to Detail, English Proficiency (Spoken), Multitasking",Indore,"₹ 2,30,000 - 2,60,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-operations-associate-job-in-indore-at-medibuddy1764659637
Customer Service Associate,HRH Next Services Pvt LTD,"Communication Skills, English Proficiency (Spoken), Malayalam Proficiency (Spoken), Tamil Proficiency (Spoken)",Coimbatore,"₹ 2,24,000 - 3,30,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-customer-service-associate-job-in-coimbatore-at-hrh-next-services-pvt-ltd1764683277
Car Technicians,Everest Fleet Private Limited,Technical Support,Bangalore,"₹ 2,12,000 - 3,15,000",1 year(s),N/A,https://internshala.com/job/detail/car-technicians-job-in-bangalore-at-everest-fleet-private-limited1764758696
Corporate Sales Executive,IREED Academy India Private Limited,English Proficiency (Spoken),Gurgaon,"₹ 2,10,000 - 4,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-corporate-sales-executive-job-in-gurgaon-at-ireed-academy-india-private-limited1764071745
Back Office Executive,Writer Information,Effective Communication,"Navi Mumbai,Mumbai","₹ 2,02,000 - 2,22,000",0 year(s),5 days ago,https://internshala.com/job/detail/fresher-back-office-executive-job-in-multiple-locations-at-writer-information1765969345
Sales Executive,UBI Services Limited,"Client Relationship, Sales Management","Angul,Rourkela,Sambalpur,Jharsuguda","₹ 2,01,000 - 3,05,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-sales-executive-job-in-multiple-locations-at-ubi-services-limited1765522546
Recruitment Associate,Blackbuck (Zinka Logistics Solutions Private Limited),"Effective Communication, Human Resources, Recruitment",Bangalore,"₹ 2,01,000 - 2,52,000",1 year(s),6 days ago,https://internshala.com/job/detail/recruitment-associate-job-in-bangalore-at-blackbuck-zinka-logistics-solutions-private-limited1765887615
Content Writer,Burns & McDonnell Engineering India Private Limited,"Content Writing, Creative Writing, English Proficiency (Spoken), English Proficiency (Written), Photography",Mumbai,"₹ 2,00,001 - 3,00,002",1 year(s),N/A,https://internshala.com/job/detail/content-writer-job-in-mumbai-at-burns-mcdonnell-engineering-india-private-limited1764574893
Customer Service Associate,ICCS Limited,"English Proficiency (Spoken), English Proficiency (Written)",Noida,"₹ 2,00,000 - 4,00,000",1 year(s),N/A,https://internshala.com/job/detail/customer-service-associate-job-in-noida-at-pushpa-nautiyal1764234528
Recruiter,Foundit India (formerly Monster APAC & ME),"MS-Excel, MS-Office",Noida,"₹ 2,00,000 - 3,50,000",1 year(s),4 days ago,https://internshala.com/job/detail/recruiter-job-in-noida-at-foundit-india-formerly-monster-apac-me1766044509
Telecaller,Spacewood Furnishers Private Limited,"Effective Communication, English Proficiency (Spoken), MS-Excel",Gurgaon,"₹ 2,00,000 - 3,00,000",0 year(s),1 day ago,https://internshala.com/job/detail/fresher-telecaller-job-in-gurgaon-at-spacewood-furnishers-private-limited1766354818
Customer Support,V5 Global Services,Effective Communication,"Pune,Noida","₹ 2,00,000 - 3,00,000",1 year(s),N/A,https://internshala.com/job/detail/customer-support-job-in-multiple-locations-at-v5-global-services1765278627
Junior Operations Executive,Arihant Publications,"Attention to Detail, Coordination, English Proficiency (Spoken), MS-Excel, MS-Office, MS-Word, Multitasking, Organizational Development, Team Management",Noida,"₹ 2,00,000 - 3,00,000",1 year(s),N/A,https://internshala.com/job/detail/junior-operations-executive-job-in-noida-at-arihant-publications1765181130
Digital Marketing Executive,Advantech Industrial Computing India Private Limited,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",Bangalore,"₹ 2,00,000 - 3,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-digital-marketing-executive-job-in-bangalore-at-advantech-industrial-computing-india-private-limited1764756906
Junior Talent Acquisition Trainee,Justdial Limited,"English Proficiency (Spoken), Kannada Proficiency (Spoken), MS-Excel, Recruitment",Bangalore,"₹ 2,00,000 - 3,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-junior-talent-acquisition-trainee-job-in-bangalore-at-justdial-limited1764350960
Customer Service Associate,Bharti Axa Life Insurance Company Limited,Effective Communication,Chandigarh,"₹ 2,00,000 - 2,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-customer-service-associate-job-in-chandigarh-at-bharti-axa-life-insurance-company-limited1765650690
Accountant,ZUCOL Solutions Private Limited,"Accounting, English Proficiency (Spoken), GST, MS-Excel, MS-Office, Tally",Jaipur,"₹ 2,00,000 - 2,50,000",1 year(s),N/A,https://internshala.com/job/detail/accountant-job-in-jaipur-at-zucol-solutions-private-limited1765345648
Business Development Executive,ZUCOL Solutions Private Limited,Sales,Jaipur,"₹ 2,00,000 - 2,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-business-development-executive-job-in-jaipur-at-zucol-solutions-private-limited1765280220
Customer Service Associate,Bharti Axa Life Insurance Company Limited,Effective Communication,Gurgaon,"₹ 2,00,000 - 2,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-customer-service-associate-job-in-gurgaon-at-bharti-axa-life-insurance-company-limited1765650511
Customer Service Associate,Bharti Axa Life Insurance Company Limited,Effective Communication,Trichey,"₹ 2,00,000 - 2,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-customer-service-associate-job-in-trichey-at-bharti-axa-life-insurance-company-limited1765539261
Customer Service Associate,Bharti Axa Life Insurance Company Limited,Effective Communication,Visakhapatnam,"₹ 2,00,000 - 2,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-customer-service-associate-job-in-visakhapatnam-at-bharti-axa-life-insurance-company-limited1765532444
Sales Executive,Kotak Mahindra Bank Limited,Computer skills,Bangalore,"₹ 2,00,000 - 2,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-sales-executive-job-in-bangalore-at-kotak-mahindra-bank-limited1764758748
Corporate Sales Executive,Delcon Homes Private Limited,Sales,Patna,"₹ 2,00,000 - 2,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-corporate-sales-executive-job-in-patna-at-delcon-homes-private-limited1764672225
Digital Marketing Executive,IREED Academy India Private Limited,"Creative Writing, Email Marketing, Facebook Marketing, Instagram Marketing, Social Media Marketing",Gurgaon,"₹ 2,00,000 - 2,50,000",0 year(s),5 days ago,https://internshala.com/job/detail/fresher-digital-marketing-executive-job-in-gurgaon-at-ireed-academy-india-private-limited1765966475
Human Resources (HR) Executive,FlexCoders,"Communication Skills, English Proficiency (Spoken), English Proficiency (Written), HR Operations, Human Resources (HR), Interview Coordination, MS-Excel, MS-Office, MS-Word, Organizational Development, Team Management, Time Management",Hyderabad,"₹ 2,00,000 - 2,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-human-resources-hr-executive-job-in-hyderabad-at-flexcoders1764177901
Customer Service Associate,Bharti Axa Life Insurance Company Limited,Effective Communication,Vijayawada,"₹ 2,00,000 - 2,25,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-customer-service-associate-job-in-vijayawada-at-bharti-axa-life-insurance-company-limited1765431343
Social Media Manager And Personal Assistant,Dr Prasun Chatterjee,"Canva, Content Editing, Content Management, Content Marketing, Effective Communication, Generative AI Tools, MS-Excel, MS-Office, MS-PowerPoint","Delhi,Noida,Gurgaon","₹ 2,00,000 - 2,20,000",0 year(s),5 days ago,https://internshala.com/job/detail/fresher-social-media-manager-and-personal-assistant-job-in-multiple-locations-at-dr-prasun-chatterjee1765955987
Academic Content Writer,Zucol Services Private Limited,"Content Writing, English Proficiency (Spoken), English Proficiency (Written)",Kolkata,"₹ 2,00,000 - 2,20,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-academic-content-writer-job-in-kolkata-at-zucol-services-private-limited1764927234
Operations Associate,Quantanite,"Communication Skills, MS-Excel",Thane(Hybrid),"₹ 2,00,000 - 2,20,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-operations-associate-job-in-thane-at-quantanite1764186144
Teacher,Freedom Employability Academy,English Proficiency (Spoken),"Araria,Purnia","₹ 2,00,000 - 2,10,000",0 year(s),Today,https://internshala.com/job/detail/fresher-teacher-job-in-multiple-locations-at-freedom-employability-academy1766397556
Operations Associate,MediBuddy,Operations,Ahmedabad,"₹ 2,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-operations-associate-job-in-ahmedabad-at-medibuddy1764587942
Online Data Analyst - Urdu,"TELUS International AI Inc. (Las Vegas, United States)","Artificial intelligence, English Proficiency (Spoken), English Proficiency (Written), Urdu Proficiency(Spoken), Urdu Proficiency(Written)",Work from home,"$ 5,000 - 5,200",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-part-time-online-data-analyst-urdu-job-at-telus-international-ai-inc1764220508
Online Data Analysts - Bengali,"TELUS International AI Inc. (Las Vegas, United States)","Bengali Proficiency (Spoken), Bengali Proficiency (Written), Data Analysis, English Proficiency (Spoken), English Proficiency (Written)",Work from home,"$ 5,000 - 5,200",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-part-time-online-data-analysts-bengali-job-at-telus-international-ai-inc1764220380
Online Data Analyst - Punjabi,"TELUS International AI Inc. (Las Vegas, United States)","Artificial intelligence, English Proficiency (Spoken), English Proficiency (Written), Punjabi Proficiency (Spoken), Punjabi Proficiency (Written)",Work from home,"$ 5,000 - 5,200",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-part-time-online-data-analyst-punjabi-job-at-telus-international-ai-inc1764220451
